iter	MultiClass
0	1.310745111
1	1.259080421
2	1.210684556
3	1.17042588
4	1.136420099
5	1.10695426
6	1.071731915
7	1.049608168
8	1.026843893
9	1.007067273
10	0.9920736936
11	0.9766836957
12	0.9561084264
13	0.9397088413
14	0.923312324
15	0.9115229799
16	0.8978036128
17	0.8887090103
18	0.8764216034
19	0.8624560063
20	0.8536364473
21	0.8464731821
22	0.836709472
23	0.8258488419
24	0.8174764841
25	0.807943987
26	0.7992270697
27	0.7906912089
28	0.7823190965
29	0.7744152803
30	0.7654393129
31	0.761534308
32	0.7572816782
33	0.7491992267
34	0.7426028132
35	0.7339428793
36	0.7282597963
37	0.7238788636
38	0.7151492255
39	0.7084786924
40	0.7035783291
41	0.6981392748
42	0.6941663445
43	0.6890932732
44	0.6821743892
45	0.6779626327
46	0.6725831697
47	0.6665869168
48	0.6617881467
49	0.6563715899
50	0.653459985
51	0.6482518039
52	0.6458589853
53	0.6409359333
54	0.6370819522
55	0.6328009072
56	0.6296145039
57	0.6262797554
58	0.6227347945
59	0.6179178127
60	0.6155532981
61	0.6138009991
62	0.6103397411
63	0.6067312135
64	0.6024178958
65	0.5988960869
66	0.5948090778
67	0.5907481095
68	0.5869139517
69	0.5840935474
70	0.5812182703
71	0.5771273134
72	0.5761205126
73	0.5725075882
74	0.5710071681
75	0.5687030048
76	0.565679095
77	0.5636981329
78	0.5614021874
79	0.5587099349
80	0.5557795704
81	0.55257735
82	0.5498032687
83	0.5464869622
84	0.5451737835
85	0.5426488866
86	0.5406085901
87	0.5376137816
88	0.5354809949
89	0.533528033
90	0.5302691886
91	0.527516081
92	0.5242198671
93	0.5220398865
94	0.5202517864
95	0.517794929
96	0.5146678243
97	0.5124071733
98	0.5093813771
99	0.506409233
100	0.5031103837
101	0.5000491935
102	0.4968547718
103	0.4946132139
104	0.4923480768
105	0.4900217068
106	0.4880119693
107	0.4856243277
108	0.4834442986
109	0.4811682894
110	0.479097664
111	0.4776741339
112	0.4751701962
113	0.4733936163
114	0.4717260307
115	0.4690270404
116	0.4662197656
117	0.4642976746
118	0.4623953306
119	0.4610452944
120	0.4597118015
121	0.4581099
122	0.4559502766
123	0.4542167419
124	0.4523789868
125	0.4499342887
126	0.448195164
127	0.4465268751
128	0.4446747488
129	0.4429299358
130	0.441246381
131	0.4395587814
132	0.4365973834
133	0.4349081902
134	0.4324212557
135	0.4307244913
136	0.4285720638
137	0.4270554529
138	0.4262678724
139	0.4238986817
140	0.4224720585
141	0.4208837882
142	0.419501339
143	0.4176449198
144	0.4162572201
145	0.4149831326
146	0.4137970334
147	0.4116683022
148	0.4094825257
149	0.4077905673
150	0.4064281391
151	0.4053004846
152	0.4030905785
153	0.4018115019
154	0.4003667864
155	0.3988915947
156	0.3975890208
157	0.3963020246
158	0.3944752781
159	0.3930624754
160	0.3914691214
161	0.3899570667
162	0.3879210299
163	0.3863183938
164	0.3854810884
165	0.3836871817
166	0.382950949
167	0.3817904689
168	0.3805874649
169	0.3794795082
170	0.378809765
171	0.3772191591
172	0.3758174114
173	0.374337654
174	0.3732596393
175	0.3720219445
176	0.3711290785
177	0.3703896684
178	0.3688191907
179	0.3679412981
180	0.367449676
181	0.3666463018
182	0.3656169836
183	0.3646164906
184	0.363372766
185	0.3627095575
186	0.3618357545
187	0.3606430896
188	0.3592517684
189	0.3584448191
190	0.3578342075
191	0.3569786333
192	0.3558882926
193	0.3544807833
194	0.3535186279
195	0.3527195916
196	0.352059021
197	0.3513110874
198	0.3506073071
199	0.3497566129
200	0.3492380324
201	0.3485966543
202	0.3476704707
203	0.3467004876
204	0.346021088
205	0.3450805437
206	0.3441605594
207	0.3435832558
208	0.3426993343
209	0.3418009008
210	0.3406678852
211	0.3397510083
212	0.339030655
213	0.3382218984
214	0.3370618481
215	0.3360756843
216	0.3349770956
217	0.334340984
218	0.3339285883
219	0.3334729001
220	0.3327409345
221	0.3317590647
222	0.3305566554
223	0.3303414164
224	0.3298960843
225	0.329132305
226	0.3285920491
227	0.3279232435
228	0.3272543836
229	0.3259375316
230	0.3250992699
231	0.3243640595
232	0.3237391452
233	0.3232633799
234	0.3222524899
235	0.3220281387
236	0.3211732051
237	0.3200600348
238	0.3197417565
239	0.3192957102
240	0.3188721889
241	0.3184546401
242	0.3180083886
243	0.3174289845
244	0.3169618742
245	0.3162957139
246	0.3158480658
247	0.3155322165
248	0.3144461507
249	0.3138036552
250	0.3133355507
251	0.3126980872
252	0.3121878991
253	0.3115975523
254	0.3110256409
255	0.3103581324
256	0.3095414311
257	0.3089145573
258	0.308480875
259	0.3081001028
260	0.307638211
261	0.3067535193
262	0.3060738542
263	0.3056434015
264	0.3052686363
265	0.3045433428
266	0.30375271
267	0.3029344871
268	0.3023641781
269	0.3015291244
270	0.3009034215
271	0.3002008139
272	0.2993070776
273	0.2985432308
274	0.2982309332
275	0.2976518546
276	0.2971780813
277	0.2967183619
278	0.295860547
279	0.295242132
280	0.2948663865
281	0.2944465576
282	0.2942461626
283	0.2937233802
284	0.2932600284
285	0.2925597024
286	0.2922561422
287	0.2912765598
288	0.2904850031
289	0.2902292353
290	0.2899349419
291	0.2894312054
292	0.2888249654
293	0.2880805928
294	0.2875206329
295	0.2869757233
296	0.285972604
297	0.285798915
298	0.2854491766
299	0.2851454121
300	0.2844842819
301	0.2841487208
302	0.2837367719
303	0.2834682237
304	0.2829908883
305	0.2825316509
306	0.2822268921
307	0.2817579748
308	0.2811312078
309	0.2803699591
310	0.2800319073
311	0.2790696379
312	0.2779701313
313	0.2775340557
314	0.2770984083
315	0.2766602408
316	0.2762342373
317	0.2758821139
318	0.275547604
319	0.2754000092
320	0.2747500012
321	0.2745706583
322	0.2739319255
323	0.2733680993
324	0.2728456791
325	0.2725428494
326	0.2721731619
327	0.2719522806
328	0.2717453866
329	0.271396989
330	0.2710659159
331	0.2709228792
332	0.2705499571
333	0.2702817232
334	0.2698648131
335	0.2692828095
336	0.2686462365
337	0.2682774612
338	0.2677985926
339	0.2674485438
340	0.2668318654
341	0.2665120711
342	0.266398623
343	0.2661509795
344	0.2658167938
345	0.2655976207
346	0.2649495996
347	0.2646322676
348	0.2638204822
349	0.2635868334
350	0.2633137088
351	0.263064412
352	0.2627361708
353	0.2619719382
354	0.2612369926
355	0.2604506847
356	0.260177551
357	0.2597272216
358	0.2593616176
359	0.2588677206
360	0.2582754195
361	0.25809533
362	0.2578525003
363	0.2574811737
364	0.2569877298
365	0.2567765539
366	0.2563699547
367	0.2557967444
368	0.2552882724
369	0.2551571237
370	0.2546996888
371	0.2542485721
372	0.2537873972
373	0.2533583842
374	0.2528846566
375	0.2526317256
376	0.2524750603
377	0.2520275839
378	0.2515217999
379	0.2510434407
380	0.2504623324
381	0.2499164053
382	0.2496575456
383	0.248982648
384	0.2487916824
385	0.2485305454
386	0.2481327745
387	0.2475416023
388	0.2471016
389	0.2466734344
390	0.246521581
391	0.2461535742
392	0.2460632639
393	0.2457574996
394	0.2456147122
395	0.2447884112
396	0.2444500737
397	0.2442325488
398	0.2439035618
399	0.2438047538
400	0.2434949441
401	0.2430425497
402	0.2429151443
403	0.2427719499
404	0.2424177429
405	0.2421701684
406	0.2419631869
407	0.2413075879
408	0.2412130117
409	0.2410718439
410	0.2406752073
411	0.2402045417
412	0.2399628332
413	0.2397573789
414	0.2393088223
415	0.2386562758
416	0.2384197685
417	0.2380171365
418	0.2377972399
419	0.2377117606
420	0.2372494002
421	0.2371149613
422	0.2369931937
423	0.2367829693
424	0.2364570882
425	0.2363721075
426	0.2359715382
427	0.2357612112
428	0.2352809127
429	0.2352274727
430	0.2349410377
431	0.2346144948
432	0.2344406235
433	0.2343019098
434	0.234066402
435	0.2339120804
436	0.2338032303
437	0.2334267302
438	0.2332309756
439	0.2331822504
440	0.2329644047
441	0.2327508364
442	0.2325819832
443	0.2324954603
444	0.23229918
445	0.2320718853
446	0.2318745777
447	0.2314198047
448	0.2312055505
449	0.2309825012
450	0.2308205163
451	0.2303837706
452	0.2301038097
453	0.229941745
454	0.2295522645
455	0.2292590269
456	0.2288655232
457	0.2286535164
