iter	Passed	Remaining
0	1272	1271046
1	2109	1052618
2	3108	1033161
3	4093	1019274
4	5027	1000498
5	5961	987677
6	6817	967099
7	7742	960099
8	8754	964018
9	9645	954950
10	10425	937343
11	11110	914742
12	11942	906690
13	12655	891296
14	13503	886749
15	14398	885492
16	15202	879058
17	16198	883696
18	17021	878823
19	17881	876173
20	18894	880860
21	19804	880395
22	20676	878291
23	21440	871910
24	22451	875589
25	23383	875974
26	24374	878386
27	25378	880983
28	26237	878511
29	27128	877149
30	28112	878735
31	29038	878404
32	29796	873131
33	30815	875527
34	31798	876719
35	32670	874855
36	33620	875032
37	34443	871962
38	35264	868952
39	36165	867972
40	37019	865899
41	37908	864678
42	38850	864651
43	39680	862140
44	40557	860711
45	41437	859385
46	42414	860018
47	43337	859518
48	44088	855682
49	44843	852033
50	45856	853282
51	46753	852358
52	47640	851243
53	48698	853126
54	49397	848734
55	50490	851125
56	51429	850845
57	52521	853025
58	53370	851211
59	54231	849625
60	55012	846825
61	55811	844374
62	56653	842608
63	57562	841849
64	58457	840891
65	59516	842250
66	60476	842163
67	61433	842006
68	62598	844632
69	63473	843287
70	64366	842205
71	65153	839752
72	66080	839129
73	66971	838047
74	67903	837476
75	68773	836142
76	69632	834680
77	70463	832915
78	71360	831933
79	72314	831612
80	73281	831424
81	74093	829490
82	74929	827840
83	75817	826767
84	76898	827791
85	77747	826291
86	78669	825576
87	79549	824421
88	80385	822822
89	81319	822234
90	82308	822183
91	83202	821172
92	84009	819323
93	85087	820102
94	85988	819155
95	86773	817119
96	87764	817023
97	88642	815870
98	89403	813663
99	90258	812330
100	91068	810596
101	92033	810259
102	93146	811191
103	94043	810221
104	95014	809881
105	95877	808623
106	96746	807429
107	97697	806911
108	98498	805155
109	99526	805261
110	100566	805440
111	101377	803774
112	102314	803122
113	103222	802237
114	104040	800659
115	104837	798932
116	105551	796601
117	106374	795101
118	107239	793932
119	108109	792806
120	108917	791229
121	109892	790866
122	110634	788834
123	111453	787365
124	112355	786487
125	113044	784132
126	113919	783086
127	114787	781988
128	115582	780403
129	116515	779759
130	117379	778644
131	118230	777453
132	119122	776532
133	119969	775324
134	120817	774130
135	121831	773985
136	122545	771944
137	123541	771683
138	124537	771417
139	125531	771121
140	126378	769924
141	127251	768883
142	128294	768869
143	129108	767475
144	130062	766917
145	130858	765433
146	131916	765475
147	132818	764603
148	133693	763579
149	134604	762759
150	135418	761392
151	136267	760230
152	137038	758638
153	137956	757864
154	138972	757625
155	139891	756846
156	140888	756488
157	141777	755548
158	142503	753745
159	143388	752789
160	144273	751836
161	145053	750340
162	145857	748971
163	146623	747424
164	147527	746577
165	148390	745527
166	149300	744716
167	150047	743091
168	151026	742620
169	151833	741305
170	152527	739446
171	153527	739074
172	154375	737970
173	155258	737030
174	156211	736424
175	156942	734778
176	157672	733132
177	158612	732468
178	159792	732905
179	160871	732860
180	161901	732582
181	162956	732409
182	163933	731879
183	165037	731907
184	165870	730727
185	166928	730536
186	167845	729725
187	168816	729144
188	169905	729067
189	170923	728673
190	172107	728980
191	173264	729156
192	174349	729015
193	175567	729421
194	176655	729270
195	177671	728817
196	178610	728041
197	179660	727714
198	180639	727097
199	181693	726772
200	182659	726094
201	183684	725643
202	184646	724941
203	185785	724927
204	186793	724393
205	187813	723901
206	188761	723128
207	189901	723085
208	190814	722174
209	191737	721298
210	192755	720778
211	193792	720324
212	194943	720283
213	196139	720401
214	197199	720008
215	198178	719312
216	199130	718521
217	200082	717728
218	201316	717937
219	202198	716886
220	203248	716427
221	204140	715412
222	205230	715084
223	206179	714266
224	206994	712979
225	207806	711692
226	208974	711618
227	210140	711527
228	211351	711582
229	212414	711125
230	213412	710451
231	214380	709672
232	215408	709090
233	216325	708141
234	217269	707281
235	218366	706916
236	219470	706566
237	220480	705908
238	221793	706212
239	222714	705262
240	223633	704305
241	224608	703525
242	225510	702516
243	226809	702738
244	227941	702432
245	228890	701559
246	230031	701270
247	230972	700368
248	232231	700424
249	233109	699328
250	233960	698153
251	235014	697583
252	235863	696404
253	236910	695808
254	238094	695608
255	239103	694894
256	239992	693830
257	241004	693121
258	241828	691873
259	242788	691012
260	243838	690407
261	244831	689639
262	245697	688514
263	246759	687936
264	247926	687645
265	248927	686891
266	249867	685965
267	250885	685254
268	251963	684703
269	253027	684111
270	253957	683153
271	254960	682393
272	256060	681890
273	256984	680915
274	257869	679837
275	258912	679177
276	259768	678024
277	260766	677243
278	261688	676262
279	262648	675382
280	263502	674227
281	264525	673507
282	265600	672918
283	266648	672254
284	267433	670930
285	268376	670003
286	269195	668767
287	270185	667957
288	271183	667168
289	272081	666131
290	273152	665516
291	273845	663980
292	274812	663114
293	275710	662079
294	276505	660801
295	277487	659969
296	278415	659009
297	279281	657903
298	280123	656744
299	281084	655862
300	282034	654958
301	283185	654515
302	284221	653803
303	285309	653207
304	286094	651919
305	287095	651124
306	288163	650480
307	289034	649389
308	289812	648091
309	290691	647023
310	291533	645873
311	292383	644742
312	293260	643673
313	294520	643443
314	295578	642766
315	296575	641955
316	297437	640851
317	298238	639618
318	299088	638493
319	299995	637491
320	301067	636837
321	302076	636049
322	302984	635047
323	303935	634137
324	304773	632991
325	305649	631926
326	306446	630698
327	307407	629811
328	308451	629090
329	309287	627947
330	310321	627204
331	311368	626489
332	312428	625795
333	313424	624971
334	314353	624015
335	315389	623270
336	316498	622667
337	317301	621460
338	318336	620709
339	319106	619442
340	320188	618781
341	321168	617920
342	322139	617042
343	323257	616444
344	323919	614978
345	324937	614188
346	325747	613006
347	326942	612546
348	327823	611498
349	328802	610632
350	329806	609814
351	330824	609018
352	331826	608191
353	332724	607175
354	333597	606114
355	334688	605447
356	335593	604443
357	336593	603611
358	337489	602593
359	338295	601415
360	339221	600449
361	340112	599424
362	341157	598670
363	342331	598139
364	343435	597484
365	344306	596421
366	345530	595969
367	346574	595204
368	347765	594688
369	348859	594003
370	349860	593159
371	350759	592142
372	351792	591351
373	352856	590609
374	353900	589833
375	354824	588857
376	355774	587924
377	356657	586881
378	357554	585860
379	358649	585164
380	359632	584284
381	360427	583100
382	361126	581761
383	361953	580633
384	362760	579474
385	363775	578648
386	364713	577698
387	365875	577103
388	366754	576058
389	367580	574933
390	368650	574190
391	369857	573655
392	370854	572795
393	371687	571681
394	373104	571464
395	374069	570550
396	375008	569597
397	376134	568927
398	377114	568034
399	378234	567352
400	379285	566563
401	380215	565593
402	381300	564855
403	382234	563890
404	383436	563320
405	384431	562444
406	385524	561710
407	386472	560764
408	387527	559973
409	388456	558999
410	389402	558049
411	390247	556955
412	391167	555969
413	392091	554989
414	393021	554018
415	394002	553119
416	394805	551970
417	395760	551035
418	396794	550208
419	397671	549165
420	398686	548311
421	399460	547128
422	400415	546193
423	401445	545359
424	402476	544526
425	403629	543857
426	404951	543412
427	405801	542332
428	406748	541382
429	407790	540559
430	408708	539570
431	409372	538248
432	410356	537348
433	411259	536342
434	412348	535578
435	413399	534763
436	414567	534100
437	415512	533146
438	416427	532154
439	417463	531316
440	418511	530494
441	419286	529325
442	420189	528318
443	421246	527506
444	422316	526708
445	423383	525906
446	424422	525068
447	425488	524262
448	426336	523188
449	427313	522271
450	428218	521267
451	429286	520462
452	430160	519420
453	431077	518432
454	431944	517384
455	433009	516572
456	433986	515655
457	435008	514791
458	435950	513833
459	436975	512971
460	437979461	4454461	438943462	4465462	439843463	4474463	440811464	4484464	441683465	4494465	442667466	4505466	443641467	4514467	444656468	4527468	445625469	4537469	446619470	4547470	447452471	455838	509921
472	4566472	449405473	4576473	450213474	4585474	451178475	459709	506066
476	460690	505117
477	461512	503995
478	4624478	454970479	463528	502155
480	464736	501452
481	465836	500628
482	466727	499582
